group,n_input_neurons,rate_hz,trace_sum,n_dm_trace_nonzero,sim_wall_s
food_odor_L,3,20.0,0.0,0,0.33623194694519043
food_odor_R,3,20.0,4.267437934875488,42,0.3585190773010254
smoke_odor_L,5,150.0,0.6958195567131042,1,0.36045408248901367
smoke_odor_R,6,150.0,1.5749802589416504,1,0.3706669807434082
reels_light_L,52,150.0,51.36125946044922,42,0.40128302574157715
reels_light_R,51,150.0,47.786598205566406,57,0.4004499912261963
sugar_taste,21,200.0,169.24517822265625,83,0.4208219051361084
nicotine_taste,65,150.0,15.709254264831543,7,0.4577169418334961
reels_jackpot,244,150.0,41.80986785888672,21,0.4421708583831787
hunger,193,150.0,103.51144409179688,54,0.4353296756744385
nicotine,307,150.0,51.351051330566406,69,0.4446709156036377
withdrawal,24,50.0,52.04620361328125,70,0.4154379367828369
