name,family,subtype,stim_side,rate_hz,n_neurons_stim,n_annotated,total_spikes_all,ignition,dm_n_responsive,dm_spikes_total,dm_spikes_left,dm_spikes_right,dm_spikes_center,dm_n_resp_left,dm_n_resp_right,dm_n_resp_center,DNa01_left,DNa01_right,DNa02_left,DNa02_right,DNa_other_left,DNa_other_right,DNp09_left,DNp09_right,DNp_other_left,DNp_other_right,DAN_n_responsive,DAN_spikes_total,ipsi_spikes,contra_spikes,ipsi_n_responsive,contra_n_responsive,LI,wall_s_wave
ORN_DA1_L,ORN,ORN_DA1,left,50.0,60,60,132392.0,True,152,1329.0,639.0,661.0,29.0,75,73,4,8.0,1.0,13.0,0.0,25.0,18.0,0.0,0.0,201.0,206.0,155,2480.0,639.0,661.0,75,73,-0.016923076923076923,7.52545690536499
ORN_DA1_L,ORN,ORN_DA1,left,150.0,60,60,136740.0,True,159,1381.0,683.0,670.0,28.0,81,73,5,9.0,1.0,15.0,0.0,32.0,18.0,0.0,0.0,200.0,208.0,155,2519.0,683.0,670.0,81,73,0.009608277900960829,7.52545690536499
ORN_DA1_R,ORN,ORN_DA1,right,50.0,66,66,127692.0,True,162,1349.0,664.0,656.0,29.0,79,78,5,5.0,2.0,15.0,0.0,32.0,18.0,0.0,0.0,204.0,206.0,151,2360.0,656.0,664.0,78,79,-0.006060606060606061,7.52545690536499
ORN_DA1_R,ORN,ORN_DA1,right,150.0,66,66,135595.0,True,161,1358.0,671.0,658.0,29.0,79,77,5,6.0,3.0,18.0,0.0,32.0,18.0,0.0,0.0,197.0,194.0,155,2477.0,658.0,671.0,77,79,-0.009781790820165538,7.52545690536499
ORN_DA2_R,ORN,ORN_DA2,right,50.0,22,22,325.0,False,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,nan,7.52545690536499
ORN_DA2_R,ORN,ORN_DA2,right,150.0,22,22,1117.0,False,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,nan,7.52545690536499
ORN_DA4m_L,ORN,ORN_DA4m,left,50.0,20,20,372.0,False,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,nan,7.52545690536499
ORN_DA4m_L,ORN,ORN_DA4m,left,150.0,20,20,119921.0,True,149,1175.0,572.0,581.0,22.0,73,72,4,5.0,1.0,18.0,0.0,25.0,15.0,0.0,0.0,175.0,187.0,155,2250.0,572.0,581.0,73,72,-0.007805724197745013,7.52545690536499
ORN_DC1_L,ORN,ORN_DC1,left,50.0,21,21,126681.0,True,154,1249.0,610.0,612.0,27.0,73,76,5,5.0,3.0,11.0,0.0,22.0,14.0,0.0,0.0,195.0,195.0,155,2364.0,610.0,612.0,73,76,-0.0016366612111292963,7.52545690536499
ORN_DC1_L,ORN,ORN_DC1,left,150.0,21,21,130644.0,True,157,1367.0,649.0,691.0,27.0,77,76,4,5.0,2.0,13.0,0.0,27.0,14.0,0.0,0.0,205.0,220.0,150,2433.0,649.0,691.0,77,76,-0.03134328358208955,7.52545690536499
