candidate,family,subtype,side,food_channel,food_alone_dm_spikes,food_alone_dan_spikes,food_alone_total_spikes,combo_dm_spikes,combo_dan_spikes,combo_total_spikes,delta_dm_spikes,delta_dan_spikes,pct_change_dm
ENDO_CAPA_L,endocrine,CAPA,left,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,311.0,1.0,0.0,nan
ENDO_CAPA_R,endocrine,CAPA,right,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,284.0,0.0,0.0,nan
ENDO_CRZ_R,endocrine,CRZ,right,ALPN_DA2_L,0.0,0.0,220.0,2.0,0.0,397.0,2.0,0.0,nan
ENDO_DH31_L,endocrine,DH31,left,ALPN_DA2_L,0.0,0.0,220.0,2.0,0.0,404.0,2.0,0.0,nan
ENDO_DH31_R,endocrine,DH31,right,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,381.0,0.0,0.0,nan
ENDO_DH44_L,endocrine,DH44,left,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,388.0,0.0,0.0,nan
ENDO_DH44_R,endocrine,DH44,right,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,434.0,1.0,0.0,nan
ENDO_DMS_L,endocrine,DMS,left,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,380.0,1.0,0.0,nan
ENDO_DMS_R,endocrine,DMS,right,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,472.0,1.0,0.0,nan
ENDO_Hugin-RG_L,endocrine,Hugin-RG,left,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,375.0,0.0,0.0,nan
ENDO_Hugin-RG_R,endocrine,Hugin-RG,right,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,340.0,1.0,0.0,nan
ENDO_IPC_L,endocrine,IPC,left,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,622.0,1.0,0.0,nan
ENDO_IPC_R,endocrine,IPC,right,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,709.0,0.0,0.0,nan
ENDO_ITP_L,endocrine,ITP,left,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,353.0,1.0,0.0,nan
ENDO_ITP_R,endocrine,ITP,right,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,353.0,0.0,0.0,nan
ENDO_lNSC_unknown_L,endocrine,lNSC_unknown,left,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,619.0,1.0,0.0,nan
ENDO_lNSC_unknown_R,endocrine,lNSC_unknown,right,ALPN_DA2_L,0.0,0.0,220.0,1.0,0.0,555.0,1.0,0.0,nan
ENDO_mNSC_unknown_L,endocrine,mNSC_unknown,left,ALPN_DA2_L,0.0,0.0,220.0,0.0,0.0,532.0,0.0,0.0,nan
ENDO_mNSC_unknown_R,endocrine,mNSC_unknown,right,ALPN_DA2_L,0.0,0.0,220.0,2.0,0.0,466.0,2.0,0.0,nan
