candidate,ref_alone_dm,combo_dm,delta_dm,pct_change_dm,ref_alone_dan,combo_dan,delta_dan
ENDO_CAPA_L,370.0,385.0,15.0,4.054054054054054,0.0,0.0,0.0
ENDO_CAPA_R,370.0,405.0,35.0,9.45945945945946,0.0,0.0,0.0
ENDO_CRZ_L,370.0,342.0,-28.0,-7.567567567567568,0.0,0.0,0.0
ENDO_CRZ_R,370.0,395.0,25.0,6.756756756756757,0.0,0.0,0.0
ENDO_DH31_L,370.0,371.0,1.0,0.2702702702702703,0.0,0.0,0.0
ENDO_DH31_R,370.0,363.0,-7.0,-1.891891891891892,0.0,0.0,0.0
ENDO_DH44_L,370.0,375.0,5.0,1.3513513513513513,0.0,0.0,0.0
ENDO_DH44_R,370.0,374.0,4.0,1.0810810810810811,0.0,0.0,0.0
ENDO_DMS_L,370.0,378.0,8.0,2.1621621621621623,0.0,0.0,0.0
ENDO_DMS_R,370.0,336.0,-34.0,-9.18918918918919,0.0,0.0,0.0
ENDO_Hugin-RG_L,370.0,398.0,28.0,7.567567567567568,0.0,0.0,0.0
ENDO_Hugin-RG_R,370.0,358.0,-12.0,-3.2432432432432434,0.0,0.0,0.0
ENDO_IPC_L,370.0,359.0,-11.0,-2.9729729729729732,0.0,0.0,0.0
ENDO_IPC_R,370.0,323.0,-47.0,-12.702702702702704,0.0,0.0,0.0
ENDO_ITP_L,370.0,350.0,-20.0,-5.405405405405405,0.0,0.0,0.0
ENDO_ITP_R,370.0,379.0,9.0,2.4324324324324325,0.0,0.0,0.0
ENDO_lNSC_unknown_L,370.0,391.0,21.0,5.675675675675676,0.0,0.0,0.0
ENDO_lNSC_unknown_R,370.0,373.0,3.0,0.8108108108108109,0.0,0.0,0.0
ENDO_mNSC_unknown_L,370.0,390.0,20.0,5.405405405405405,0.0,0.0,0.0
ENDO_mNSC_unknown_R,370.0,364.0,-6.0,-1.6216216216216217,0.0,0.0,0.0
octopaminergic_L,370.0,661.0,291.0,78.64864864864865,0.0,11.0,11.0
octopaminergic_R,370.0,633.0,263.0,71.08108108108108,0.0,0.0,0.0
DAN_PAM_L,370.0,431.0,61.0,16.486486486486488,0.0,7006.0,7006.0
DAN_PAM_R,370.0,453.0,83.0,22.432432432432435,0.0,6665.0,6665.0
DAN_PPL_L,370.0,1396.0,1026.0,277.2972972972973,0.0,2850.0,2850.0
DAN_PPL_R,370.0,1000.0,630.0,170.27027027027026,0.0,1552.0,1552.0
