family,subtype,mirror_consistency
ORN,ORN_DA1,0.8506484456856082
ORN,ORN_DL1,0.8642792062888786
ORN,ORN_DL3,0.8521245803268361
ORN,ORN_DL4,0.8663714294413459
ORN,ORN_DM1,0.8657253321169971
ORN,ORN_DM2,0.8676089063771151
ORN,ORN_DM3,0.8566704182254029
ORN,ORN_DM4,0.8637066681636776
ORN,ORN_DM5,0.8639903206528188
ORN,ORN_DM6,0.8618014251041834
ORN,ORN_V,0.8540258854269439
ORN,ORN_VA1d,0.8656351722915235
ORN,ORN_VA1v,0.8557822919362285
ORN,ORN_VA2,0.8540826077049679
ORN,ORN_VA6,0.8709179006478255
ORN,ORN_VL1,0.8523015228637223
ORN,ORN_VL2a,0.8571878370004679
ORN,ORN_VM4,0.8696079066301128
ORN,ORN_VM5d,0.852029324117855
ALPN,D,0.8666039319662474
ALPN,DA1,0.8605965485595013
ALPN,DA2,-0.0009930486593843087
ALPN,DC4,0.8596960734041443
ALPN,DL2d,0.8645381194715479
ALPN,DL2v,0.8632271079337882
ALPN,DL3,0.8573944339332171
ALPN,DM6,0.8608411962768409
ALPN,VA1d,0.8665323892361186
ALPN,VA1v,0.8616541462148084
ALPN,VA5,0.8682448907169334
ALPN,VA7m,0.8640921233814929
ALPN,VC3,0.8608409961978319
ALPN,VL2a,0.854856974168567
ALPN,VM4,0.8714803375758344
ALPN,VM5d,0.8603180654693292
ALPN,VM5v,0.8642019311650511
ALPN,VP1l+,nan
ALPN_pool,ALPN_food_pool,0.8629665934470387
ALPN_pool,ALPN_smoke_pool,0.8422209726648723
JO,JO-A1,0.5767766473200382
JO,JO-A2,nan
JO,JO-A5,0.4207300896276392
JO,JO-B1_a,-0.0009930486593843094
JO,JO-B1_b,nan
JO,JO-B1_c,nan
JO,JO-B2,nan
JO,JO-B3,nan
JO,JO-B4_a,nan
JO,JO-B4_b,0.7698052613544829
JO,JO-CA1,0.9999999999999998
JO,JO-CL,0.574818882582896
JO,JO-CM,nan
JO,JO-DA,nan
JO,JO-DP,nan
JO,JO-ED1,0.5499145045673706
JO,JO-ED2_a,0.9337891756839444
JO,JO-ED2_b,0.6707772309271782
JO,JO-ED2_c,nan
JO,JO-EV1,0.9046294683702373
JO,JO-EV2,0.5720885750094449
JO,JO-EV3,0.7947914596815282
JO,JO-EV4,nan
JO,JO-EV5,0.4009813398681064
JO,JO-EV6,0.9728560462800836
JO,JO-FD1,nan
JO,JO-FD2,0.4435513206044706
JO,JO-FV,0.708560575439669
JO,JO-mz,0.39633128099975495
visual,LC10a,0.8270030804339211
visual,LC10b,0.8265779711898226
visual,LC10c-1,0.8478950280428975
visual,LC10c-2,0.8283227128676632
visual,LC10d,0.862895605410545
visual,LC10e,0.8615903713266926
visual,LC11,0.7657854531831096
visual,LC12,0.6644967682628002
visual,LC13,0.6536984799481284
visual,LC15,0.8736984786775178
visual,LC16,0.5922283587320849
visual,LC17,0.8762148355439278
visual,LC18,0.7817909130149822
visual,LC21,0.6265088088469186
visual,LC22,0.8649426861473238
visual,LC4,0.9190050593292123
visual,LC6,0.9139571516541481
visual,LC9,0.7224477079737509
visual,LLPC1,0.9000323369604446
visual,LLPC2,0.8806587662590833
visual,LLPC3,0.8274731093489315
visual,LPC1,0.8087740055309236
visual,LPC2,0.8410255418115851
visual,LPLC1,0.7621856851296239
visual,LPLC2,0.9371273369426957
visual,LPLC4,0.8841396964390374
visual,MTe01a,nan
visual,MTe51,0.988009843087954
visual,MeTu1,0.8583454859735878
visual,MeTu3b,nan
visual,MeTu3c,nan
visual,MeTu4a,0.16375102958123952
visual,MeTu4c,0.5269398061576049
visual,TmY14,nan
gustatory,"LB1a,LB1d",0.8943384053441049
gustatory,LB1b,nan
gustatory,LB1c,0.06063052496626831
gustatory,LB1e,nan
gustatory,LB2a-b,nan
gustatory,LB2c,nan
gustatory,LB2d,nan
gustatory,LB3,0.34984115422362566
gustatory,LB4a,0.8832974159262955
gustatory,PhG10,0.6340032542949305
gustatory,PhG11,nan
gustatory,PhG12,nan
gustatory,PhG13,0.7701275519323766
gustatory,PhG14,nan
gustatory,PhG15,nan
gustatory,PhG16,nan
gustatory,PhG1a,0.863308419829848
gustatory,PhG1b,0.8156643977779002
gustatory,PhG1c,0.8529225232106512
gustatory,PhG2,nan
gustatory,PhG3,nan
gustatory,PhG4,0.8636536183361789
gustatory,PhG5,nan
gustatory,PhG6,nan
gustatory,PhG7,nan
gustatory,PhG8,0.9344685043032319
gustatory,PhG9,0.8675407840828919
gustatory,SA_VTV_1,nan
gustatory,SA_VTV_10,nan
gustatory,SA_VTV_2,0.933338495792089
gustatory,SA_VTV_3,nan
gustatory,SA_VTV_4,0.8328060803222559
gustatory,SA_VTV_5,0.7347048611956215
gustatory,SA_VTV_7,nan
gustatory,SA_VTV_8,nan
gustatory,SA_VTV_9,nan
gustatory,claw_tpGRN,0.8652871906598698
gustatory,dorsal_tpGRN,0.6120082336389333
gustatory_bitter,bitter,0.6375517185684474
endocrine,CAPA,nan
endocrine,CRZ,nan
endocrine,DH31,nan
endocrine,DH44,nan
endocrine,DMS,nan
endocrine,Hugin-RG,nan
endocrine,IPC,nan
endocrine,ITP,nan
endocrine,lNSC_unknown,nan
endocrine,mNSC_unknown,nan
neuromod,octopamine,0.7245493185785167
neuromod,serotonin,0.8519231247885753
neuromod,DAN_PAM,0.5499741090511018
neuromod,DAN_PPL,0.8555522665190219
