gen,wall_s,fitness_mean,fitness_max,reach_food,reach_smoke,reach_reels,dist_reduction_food,dist_reduction_smoke,dist_reduction_reels
0,54.01384210586548,-0.008927189021279787,0.23250513762569666,0.03125,0.28125,0.03125,-0.10268504971343005,-0.02473504224174454,0.04157602489133522
1,64.67456412315369,-0.0734002492419646,0.2057796325888205,0.03125,0.0,0.125,-0.12430667123342523,0.018854787315746434,-0.13318636380821497
2,54.650850772857666,0.06042662705576383,0.2626156212661692,0.0625,0.6875,0.0,0.06275677860394253,-0.0587600616882686,0.06290816425161755
3,67.49523520469666,0.011261564227631405,0.27564334155191356,0.0,0.0625,0.15625,0.054564477474202996,-0.029978591373309695,-0.008301193417999096
4,54.73169803619385,-0.03887423493379279,0.1973001064448097,0.375,0.03125,0.03125,-0.012418864299970266,-0.1433094087424383,0.0006680682410302157
5,51.551958084106445,0.02471967301004662,0.1374814237389428,0.0,0.03125,0.0,0.08349620524378938,0.08396261470414992,-0.09361230091779943
6,50.355900287628174,0.07162612728222251,0.20858736453326435,0.0,0.0,0.0,0.08169048529277945,0.08582107372350231,0.047366822830385805
7,50.730271100997925,0.006127119414995953,0.24276869632524234,0.0,0.03125,0.03125,0.11061348911488166,-0.12295215283078333,0.02978252196088954
8,50.416080951690674,0.00047133378887250117,0.10300587921295216,0.0,0.0,0.0625,-0.10552329759954619,0.011981695107606181,0.08839310385855753
9,49.797122955322266,0.033734377912098636,0.1494543094861334,0.0,0.34375,0.0,0.023992613738583635,-0.003438399397557716,0.00752391939526997
